filename,dataset_type,source,url,start,end,resolution,rows,bytes,complete,gaps
BTCUSDT-bookDepth-2026-08-31.zip,futures_bookDepth_pct_bands_1min,Binance Vision (official),https://data.binance.vision/data/futures/um/daily/bookDepth/BTCUSDT/BTCUSDT-bookDepth-2026-08-31.zip,2026-08-31 00:00:04Z,2026-08-31 23:59:31Z,"1 snapshot/minute, 24 bands (+-1..5%)",34560,562828,yes (full UTC day),NOT an L2 ladder: percentage bands only
BTCUSDT-bookDepth-2026-09-02.zip,futures_bookDepth_pct_bands_1min,Binance Vision (official),https://data.binance.vision/data/futures/um/daily/bookDepth/BTCUSDT/BTCUSDT-bookDepth-2026-09-02.zip,2026-09-02 00:00:04Z,2026-09-02 23:59:31Z,"1 snapshot/minute, 24 bands (+-1..5%)",34560,564722,yes (full UTC day),NOT an L2 ladder: percentage bands only
BTCUSDT-bookDepth-2026-09-03.zip,futures_bookDepth_pct_bands_1min,Binance Vision (official),https://data.binance.vision/data/futures/um/daily/bookDepth/BTCUSDT/BTCUSDT-bookDepth-2026-09-03.zip,2026-09-03 00:00:04Z,2026-09-03 23:59:31Z,"1 snapshot/minute, 24 bands (+-1..5%)",34560,526945,yes (full UTC day),NOT an L2 ladder: percentage bands only
BTCUSDT-bookDepth-2026-09-04.zip,futures_bookDepth_pct_bands_1min,Binance Vision (official),https://data.binance.vision/data/futures/um/daily/bookDepth/BTCUSDT/BTCUSDT-bookDepth-2026-09-04.zip,2026-09-04 00:00:04Z,2026-09-04 23:59:31Z,"1 snapshot/minute, 24 bands (+-1..5%)",34560,491205,yes (full UTC day),NOT an L2 ladder: percentage bands only
BTCUSDT-bookDepth-2026-09-05.zip,futures_bookDepth_pct_bands_1min,Binance Vision (official),https://data.binance.vision/data/futures/um/daily/bookDepth/BTCUSDT/BTCUSDT-bookDepth-2026-09-05.zip,2026-09-05 00:00:04Z,2026-09-05 23:59:31Z,"1 snapshot/minute, 24 bands (+-1..5%)",34560,492186,yes (full UTC day),NOT an L2 ladder: percentage bands only
BTCUSDT-trades-2026-08-31.zip,futures_trades_tick,Binance Vision (official),https://data.binance.vision/data/futures/um/daily/trades/BTCUSDT/BTCUSDT-trades-2026-08-31.zip,2026-08-31T00:00:00.001Z,2026-08-31T23:59:59.466Z,every trade,3545613,25701847,yes (full UTC day),
BTCUSDT-trades-2026-09-02.zip,futures_trades_tick,Binance Vision (official),https://data.binance.vision/data/futures/um/daily/trades/BTCUSDT/BTCUSDT-trades-2026-09-02.zip,2026-09-02T00:00:00.003Z,2026-09-02T23:59:59.556Z,every trade,3365828,24169013,yes (full UTC day),
BTCUSDT-trades-2026-09-03.zip,futures_trades_tick,Binance Vision (official),https://data.binance.vision/data/futures/um/daily/trades/BTCUSDT/BTCUSDT-trades-2026-09-03.zip,2026-09-03T00:00:00.001Z,2026-09-03T23:59:59.961Z,every trade,4931524,36481342,yes (full UTC day),
BTCUSDT-trades-2026-09-04.zip,futures_trades_tick,Binance Vision (official),https://data.binance.vision/data/futures/um/daily/trades/BTCUSDT/BTCUSDT-trades-2026-09-04.zip,2026-09-04T00:00:00.001Z,2026-09-04T23:59:58.527Z,every trade,3796985,28699241,yes (full UTC day),
BTCUSDT-trades-2026-09-05.zip,futures_trades_tick,Binance Vision (official),https://data.binance.vision/data/futures/um/daily/trades/BTCUSDT/BTCUSDT-trades-2026-09-05.zip,2026-09-05T00:00:00.003Z,2026-09-05T23:59:59.413Z,every trade,1094540,8184267,yes (full UTC day),
